ID,Name,Title,Blurb,Partype,Attack,Defense,Magic,Difficulty,HP,HP_per_Level,MP,MP_per_Level,Move_Speed,Armor,Armor_per_Level,Spell_Block,Spell_Block_per_Level,Attack_Range,HP_Regen,HP_Regen_per_Level,MP_Regen,MP_Regen_per_Level,Crit,Crit_per_Level,Attack_Damage,Attack_Damage_per_Level,Attack_Speed_per_Level,Attack_Speed,Tags
Aurora,Aurora,the Witch Between Worlds,"From the moment she was born, Aurora navigated life with a unique ability to move between the spirit and material realms. Determined to learn more about the spirit realm's inhabitants, she left her home to further her research and happened upon a...",Mana,3,4,8,5,607,110,475,30.0,335,23,4.5,30,1.3,550,6.0,0.55,8.0,0.8,0,0,53,3.0,2.0,0.668,Mage
Azir,Azir,the Emperor of the Sands,"Azir was a mortal emperor of Shurima in a far distant age, a proud man who stood at the cusp of immortality. His hubris saw him betrayed and murdered at the moment of his greatest triumph, but now, millennia later, he has been reborn as an Ascended...",Mana,6,3,8,9,550,119,320,40.0,335,25,5.0,30,1.3,525,7.0,0.75,8.0,0.8,0,0,56,3.5,6.0,0.625,Mage
Bard,Bard,the Wandering Caretaker,"A traveler from beyond the stars, Bard is an agent of serendipity who fights to maintain a balance where life can endure the indifference of chaos. Many Runeterrans sing songs that ponder his extraordinary nature, yet they all agree that the cosmic...",Mana,4,4,5,9,630,103,350,50.0,330,34,5.0,30,1.3,500,5.5,0.55,6.0,0.45,0,0,52,3.0,2.0,0.658,Support
Belveth,Belveth,the Empress of the Void,"A nightmarish empress created from the raw material of an entire devoured city, Bel'Veth is the end of Runeterra itself... and the beginning of a monstrous reality of her own design. Driven by epochs of repurposed history, knowledge, and memories from...",,4,2,7,10,610,99,60,0.0,340,32,4.7,32,2.05,150,6.0,0.6,0.0,0.0,0,0,60,1.5,0.0,0.85,Fighter
Blitzcrank,Blitzcrank,the Great Steam Golem,"Blitzcrank is an enormous, near-indestructible automaton from Zaun, originally built to dispose of hazardous waste. However, he found this primary purpose too restricting, and modified his own form to better serve the fragile people of the Sump...",Mana,4,8,5,4,600,109,267,40.0,325,37,4.7,32,2.05,125,7.5,0.75,8.5,0.8,0,0,62,3.5,1.13,0.625,Tank
Brand,Brand,the Burning Vengeance,"Once a tribesman of the icy Freljord named Kegan Rodhe, the creature known as Brand is a lesson in the temptation of greater power. Seeking one of the legendary World Runes, Kegan betrayed his companions and seized it for himself—and, in an instant, the...",Mana,2,2,9,4,570,105,469,21.0,340,27,4.2,30,1.3,550,5.5,0.55,9.0,0.6,0,0,57,3.0,2.0,0.681,Mage
Braum,Braum,the Heart of the Freljord,"Blessed with massive biceps and an even bigger heart, Braum is a beloved hero of the Freljord. Every mead hall north of Frostheld toasts his legendary strength, said to have felled a forest of oaks in a single night, and punched an entire mountain into...",Mana,3,9,4,3,610,112,311,45.0,335,47,5.2,32,2.05,125,8.5,1.0,7.0,0.8,0,0,55,3.2,3.5,0.644,Tank
Briar,Briar,the Restrained Hunger,"A failed experiment by the Black Rose, Briar's uncontrollable bloodlust required a special pillory to focus her frenzied mind. After years of confinement, this living weapon broke free from her restraints and unleashed herself into the world. Now she's...",Fury,9,5,3,3,625,95,0,0.0,340,30,4.2,32,2.05,125,0.0,0.0,0.0,0.0,0,0,60,3.0,2.0,0.644,Fighter
Caitlyn,Caitlyn,the Sheriff of Piltover,"Renowned as its finest peacekeeper, Caitlyn Kiramman is also Piltover's best shot at ridding the city of its elusive criminal elements. She is often paired with Vi, acting as a cool counterpoint to her partner's more impetuous nature. Even though she...",Mana,8,2,2,6,580,107,315,40.0,325,27,4.7,30,1.3,650,3.5,0.55,7.4,0.7,0,0,60,3.8,4.0,0.681,Marksman
Camille,Camille,the Steel Shadow,"Weaponized to operate outside the boundaries of the law, Camille is the Principal Intelligencer of Clan Ferros—an elegant and elite agent who ensures the Piltover machine and its Zaunite underbelly runs smoothly. Adaptable and precise, she views sloppy...",Mana,8,6,3,4,650,99,339,52.0,340,35,5.0,32,2.05,125,8.5,0.8,8.15,0.75,0,0,68,3.8,2.5,0.644,Fighter
Cassiopeia,Cassiopeia,the Serpent's Embrace,"Cassiopeia is a deadly creature bent on manipulating others to her sinister will. Youngest and most beautiful daughter of the noble Du Couteau family of Noxus, she ventured deep into the crypts beneath Shurima in search of ancient power. There, she was...",Mana,2,3,9,10,630,104,400,40.0,328,18,4.7,32,1.3,550,5.5,0.5,8.0,0.8,0,0,53,3.0,1.5,0.647,Mage
Chogath,Chogath,the Terror of the Void,"From the moment Cho'Gath first emerged into the harsh light of Runeterra's sun, the beast was driven by the most pure and insatiable hunger. A perfect expression of the Void's desire to consume all life, Cho'Gath's complex biology quickly converts...",Mana,3,7,7,5,644,94,270,60.0,345,38,5.0,32,2.05,125,9.0,0.85,7.2,0.45,0,0,69,4.2,1.44,0.625,Tank
Corki,Corki,the Daring Bombardier,"The yordle pilot Corki loves two things above all others: flying, and his glamorous mustache... though not necessarily in that order. After leaving Bandle City, he settled in Piltover and fell in love with the wondrous machines he found there. He...",Mana,8,3,6,6,610,100,350,40.0,325,30,4.5,30,1.3,550,5.5,0.55,7.4,0.7,0,0,52,2.0,2.8,0.644,Marksman
Darius,Darius,the Hand of Noxus,"There is no greater symbol of Noxian might than Darius, the nation's most feared and battle-hardened commander. Rising from humble origins to become the Hand of Noxus, he cleaves through the empire's enemies—many of them Noxians themselves. Knowing that...",Mana,9,5,1,2,652,114,263,58.0,340,39,5.2,32,2.05,175,10.0,0.95,6.6,0.35,0,0,64,5.0,1.0,0.625,Fighter
Diana,Diana,Scorn of the Moon,"Bearing her crescent moonblade, Diana fights as a warrior of the Lunari—a faith all but quashed in the lands around Mount Targon. Clad in shimmering armor the color of winter snow at night, she is a living embodiment of the silver moon's power. Imbued...",Mana,7,6,8,4,640,109,375,25.0,345,31,4.3,32,2.05,150,6.5,0.85,8.0,0.8,0,0,57,3.0,2.0,0.625,Fighter
Draven,Draven,the Glorious Executioner,"In Noxus, warriors known as Reckoners face one another in arenas where blood is spilled and strength tested—but none has ever been as celebrated as Draven. A former soldier, he found that the crowds uniquely appreciated his flair for the dramatic, and...",Mana,9,3,1,8,675,104,361,39.0,330,29,4.5,30,1.3,550,3.75,0.7,8.05,0.65,0,0,62,3.6,2.7,0.679,Marksman
DrMundo,DrMundo,the Madman of Zaun,"Utterly mad, tragically homicidal, and horrifyingly purple, Dr. Mundo is what keeps many of Zaun's citizens indoors on particularly dark nights. Now a self-proclaimed physician, he was once a patient of Zaun's most infamous asylum. After ""curing"" the...",None,5,7,6,5,640,103,0,0.0,345,32,3.7,29,2.3,125,7.0,0.5,0.0,0.0,0,0,61,2.5,3.3,0.67,Tank
Ekko,Ekko,the Boy Who Shattered Time,"A prodigy from the rough streets of Zaun, Ekko is able to manipulate time to twist any situation to his advantage. He uses his own invention, the Z-Drive, to explore the branching possibilities of reality, crafting the perfect moment to seemingly...",Mana,5,3,7,8,655,99,280,70.0,340,32,4.2,32,2.05,125,9.0,0.9,7.0,0.8,0,0,58,3.0,3.3,0.688,Assassin
Elise,Elise,the Spider Queen,"Elise is a deadly predator who dwells in a shuttered, lightless palace, deep within the oldest city of Noxus. Once mortal, she was the mistress of a powerful house, but the bite of a vile demigod transformed her into something beautiful, yet utterly...",Mana,6,5,7,9,620,109,324,50.0,330,30,4.5,30,1.3,550,5.5,0.6,6.0,0.8,0,0,55,3.0,1.75,0.625,Assassin
Evelynn,Evelynn,Agony's Embrace,"Within the dark seams of Runeterra, the demon Evelynn searches for her next victim. She lures in prey with the voluptuous façade of a human female, but once a person succumbs to her charms, Evelynn's true form is unleashed. She then subjects her victim...",Mana,4,2,7,10,642,98,315,42.0,335,37,4.7,32,2.05,125,8.5,0.75,8.11,0.6,0,0,61,3.0,2.1,0.667,Assassin
Ezreal,Ezreal,the Prodigal Explorer,"A dashing adventurer, unknowingly gifted in the magical arts, Ezreal raids long-lost catacombs, tangles with ancient curses, and overcomes seemingly impossible odds with ease. His courage and bravado knowing no bounds, he prefers to improvise his way...",Mana,7,2,6,7,600,102,375,70.0,325,24,4.7,30,1.3,550,4.0,0.65,8.5,1.0,0,0,60,2.75,2.5,0.625,Marksman
Fiddlesticks,Fiddlesticks,the Ancient Fear,"Something has awoken in Runeterra. Something ancient. Something terrible. The ageless horror known as Fiddlesticks stalks the edges of mortal society, drawn to areas thick with paranoia where it feeds upon terrorized victims. Wielding a jagged scythe...",Mana,2,3,9,9,650,106,500,28.0,335,34,4.7,30,1.3,480,5.5,0.6,8.0,0.8,0,0,55,2.65,2.11,0.625,Mage
Fiora,Fiora,the Grand Duelist,"The most feared duelist in all Valoran, Fiora is as renowned for her brusque manner and cunning mind as she is for the speed of her bluesteel rapier. Born to House Laurent in the kingdom of Demacia, Fiora took control of the family from her father in...",Mana,10,4,2,3,620,99,300,60.0,345,33,4.7,32,2.05,150,8.5,0.55,8.0,0.7,0,0,66,3.3,3.2,0.69,Fighter
Fizz,Fizz,the Tidal Trickster,"Fizz is an amphibious yordle, who dwells among the reefs surrounding Bilgewater. He often retrieves and returns the tithes cast into the sea by superstitious captains, but even the saltiest of sailors know better than to cross him—for many are the tales...",Mana,6,4,7,6,640,106,317,52.0,335,22,4.6,32,2.05,175,8.0,0.7,6.0,0.8,0,0,58,3.0,3.1,0.658,Assassin
Galio,Galio,the Colossus,"Outside the gleaming city of Demacia, the stone colossus Galio keeps vigilant watch. Built as a bulwark against enemy mages, he often stands motionless for decades until the presence of powerful magic stirs him to life. Once activated, Galio makes the...",Mana,1,10,6,5,600,126,410,40.0,340,24,4.7,32,2.05,150,8.0,0.8,9.5,0.7,0,0,59,3.5,1.5,0.625,Tank
Gangplank,Gangplank,the Saltwater Scourge,"As unpredictable as he is brutal, the dethroned reaver king Gangplank is feared far and wide. Once, he ruled the port city of Bilgewater, and while his reign is over, there are those who believe this has only made him more dangerous. Gangplank would see...",Mana,7,6,4,9,630,114,280,60.0,345,31,4.7,32,2.05,125,6.0,0.6,8.0,0.7,0,0,64,4.2,3.2,0.658,Fighter
Garen,Garen,The Might of Demacia,"A proud and noble warrior, Garen fights as one of the Dauntless Vanguard. He is popular among his fellows, and respected well enough by his enemies—not least as a scion of the prestigious Crownguard family, entrusted with defending Demacia and its...",None,7,7,1,5,690,98,0,0.0,340,38,4.2,32,1.55,175,8.0,0.5,0.0,0.0,0,0,69,4.5,3.65,0.625,Fighter
Gnar,Gnar,the Missing Link,"Gnar is a primeval yordle whose playful antics can erupt into a toddler's outrage in an instant, transforming him into a massive beast bent on destruction. Frozen in True Ice for millennia, the curious creature broke free and now hops about a changed...",Rage,6,5,5,8,540,79,100,0.0,335,32,3.7,30,1.3,175,4.5,1.25,0.0,0.0,0,0,60,3.2,6.0,0.625,Fighter
Gragas,Gragas,the Rabble Rouser,"Equal parts jolly and imposing, Gragas is a massive, rowdy brewmaster on his own quest for the perfect pint of ale. Hailing from parts unknown, he now searches for rare ingredients among the unblemished wastes of the Freljord, trying each recipe as he...",Mana,4,7,6,5,640,115,400,47.0,330,38,5.0,32,2.05,125,5.5,0.5,6.0,0.8,0,0,64,3.5,2.05,0.675,Fighter
Graves,Graves,the Outlaw,"Malcolm Graves is a renowned mercenary, gambler, and thief—a wanted man in every city and empire he has visited. Even though he has an explosive temper, he possesses a strict sense of criminal honor, often enforced at the business end of his...",Mana,8,5,3,3,625,106,325,40.0,340,33,4.6,32,2.05,425,8.0,0.7,8.0,0.7,0,0,68,4.0,3.0,0.475,Marksman
Gwen,Gwen,The Hallowed Seamstress,"A former doll transformed and brought to life by magic, Gwen wields the very tools that once created her. She carries the weight of her maker's love with every step, taking nothing for granted. At her command is the Hallowed Mist, an ancient and...",Mana,7,4,5,5,620,115,330,40.0,340,39,5.2,32,2.05,150,9.0,0.9,7.5,0.7,0,0,63,3.0,2.25,0.69,Fighter
Hecarim,Hecarim,the Shadow of War,"Hecarim is a spectral fusion of man and beast, cursed to ride down the souls of the living for all eternity. When the Blessed Isles fell into shadow, this proud knight was obliterated by the destructive energies of the Ruination, along with all his...",Mana,8,6,4,6,625,106,280,40.0,345,32,5.45,32,2.05,175,7.0,0.75,7.0,0.8,0,0,66,3.7,2.5,0.67,Fighter
Heimerdinger,Heimerdinger,the Revered Inventor,"The eccentric Professor Cecil B. Heimerdinger is one of the most innovative and esteemed inventors the world has ever known. As the longest serving member of the Council of Piltover, he saw the best and the worst of the city's unending desire for...",Mana,2,6,8,8,558,101,385,20.0,340,19,4.2,30,1.3,550,7.0,0.55,8.0,0.8,0,0,56,2.7,1.36,0.658,Mage
Hwei,Hwei,the Visionary,"Hwei is a brooding painter who creates brilliant art in order to confront Ionia's criminals and comfort their victims. Beneath his melancholy roils a torn, emotional mind—haunted by both the vibrant visions of his imagination and the gruesome memories...",Mana,7,1,8,9,580,109,480,30.0,330,21,4.7,30,1.3,550,5.5,0.55,7.5,0.75,0,0,54,3.3,2.5,0.69,Mage
Illaoi,Illaoi,the Kraken Priestess,"Illaoi's powerful physique is dwarfed only by her indomitable faith. As the prophet of the Great Kraken, she uses a huge, golden idol to rip her foes' spirits from their bodies and shatter their perception of reality. All who challenge the “Truth Bearer...",Mana,8,6,3,4,656,115,350,50.0,350,35,5.0,32,2.05,125,9.5,0.8,7.5,0.75,0,0,65,5.0,2.5,0.625,Fighter
Irelia,Irelia,the Blade Dancer,"The Noxian occupation of Ionia produced many heroes, none more unlikely than young Irelia of Navori. Trained in the ancient dances of her province, she adapted her art for war, using the graceful and carefully practised movements to levitate a host of...",Mana,7,4,5,5,630,115,350,50.0,335,36,4.7,30,2.05,200,6.0,0.85,8.0,0.8,0,0,65,3.5,2.5,0.656,Fighter
Ivern,Ivern,the Green Father,"Ivern Bramblefoot, known to many as the Green Father, is a peculiar half man, half tree who roams Runeterra's forests, cultivating life everywhere he goes. He knows the secrets of the natural world, and holds deep friendships with all things that grow...",Mana,3,5,7,7,630,99,450,60.0,330,27,4.7,30,1.3,475,7.0,0.85,6.0,0.75,0,0,50,3.0,3.4,0.644,Support
Janna,Janna,the Storm's Fury,"Armed with the power of Runeterra's gales, Janna is a mysterious, elemental wind spirit who protects the dispossessed of Zaun. Some believe she was brought into existence by the pleas of Runeterra's sailors who prayed for fair winds as they navigated...",Mana,3,5,7,7,570,90,360,50.0,325,28,4.5,30,1.3,550,5.5,0.55,11.5,0.4,0,0,47,2.5,3.0,0.625,Support
JarvanIV,JarvanIV,the Exemplar of Demacia,"Prince Jarvan, scion of the Lightshield dynasty, is heir apparent to the throne of Demacia. Raised to be a paragon of his nation's greatest virtues, he is forced to balance the heavy expectations placed upon him with his own desire to fight on the front...",Mana,6,8,3,5,640,104,300,55.0,340,36,5.2,32,2.05,175,8.0,0.7,6.5,0.45,0,0,64,3.0,2.5,0.658,Fighter
Jax,Jax,Grandmaster at Arms,"Unmatched in both his skill with unique armaments and his biting sarcasm, Jax is the last known weapons master of Icathia. After his homeland was laid low by its own hubris in unleashing the Void, Jax and his kind vowed to protect what little remained...",Mana,7,5,7,5,665,103,339,52.0,350,36,4.2,32,2.05,125,8.5,0.55,8.2,0.7,0,0,68,4.25,3.4,0.638,Fighter
Jayce,Jayce,the Defender of Tomorrow,"Jayce Talis is a brilliant inventor who, along with his friend Viktor, made the first great discoveries in the field of hextech. Celebrated across Piltover, he tries to live up to his reputation as ""the Man of Progress,"" but often struggles with the...",Mana,8,4,3,7,590,109,375,45.0,335,22,5.0,30,1.3,125,6.0,0.6,6.0,0.8,0,0,59,4.25,3.0,0.658,Marksman
Jhin,Jhin,the Virtuoso,"Jhin is a meticulous criminal psychopath who believes murder is art. Once an Ionian prisoner, but freed by shadowy elements within Ionia's ruling council, the serial killer now works as their cabal's assassin. Using his gun as his paintbrush, Jhin...",Mana,10,2,6,6,655,107,300,50.0,330,24,4.7,30,1.3,550,3.75,0.55,6.0,0.8,0,0,59,4.4,0.0,0.625,Marksman
Jinx,Jinx,the Loose Cannon,"An unhinged and impulsive criminal from the undercity, Jinx is haunted by the consequences of her past—but that doesn't stop her from bringing her own chaotic brand of pandemonium to Piltover and Zaun. She uses her arsenal of DIY weapons to devastating...",Mana,9,2,4,6,630,105,260,50.0,325,26,4.7,30,1.3,525,3.75,0.5,6.7,1.0,0,0,59,3.25,1.4,0.625,Marksman
Kaisa,Kaisa,Daughter of the Void,"Claimed by the Void when she was only a child, Kai'Sa managed to survive through sheer tenacity and strength of will. Her experiences have made her a deadly hunter and, to some, the harbinger of a future they would rather not live to see. Having entered...",Mana,8,5,3,6,640,102,345,40.0,335,25,4.2,30,1.3,525,3.5,0.55,8.2,0.7,0,0,59,2.6,1.8,0.644,Marksman
Kalista,Kalista,the Spear of Vengeance,"A specter of wrath and retribution, Kalista is the undying spirit of vengeance, an armored nightmare summoned from the Shadow Isles to hunt deceivers and traitors. The betrayed may cry out in blood to be avenged, but Kalista only answers those willing...",Mana,8,2,4,7,600,114,300,45.0,330,24,5.2,30,1.3,525,4.0,0.75,6.3,0.8,0,0,59,3.25,4.5,0.694,Marksman
Karma,Karma,the Enlightened One,"No mortal exemplifies the spiritual traditions of Ionia more than Karma. She is the living embodiment of an ancient soul reincarnated countless times, carrying all her accumulated memories into each new life, and blessed with power that few can...",Mana,1,7,8,5,630,109,374,40.0,335,28,5.0,30,1.3,525,5.5,0.55,13.0,0.8,0,0,51,3.3,2.3,0.625,Mage
Karthus,Karthus,the Deathsinger,"The harbinger of oblivion, Karthus is an undying spirit whose haunting songs are a prelude to the horror of his nightmarish appearance. The living fear the eternity of undeath, but Karthus sees only beauty and purity in its embrace, a perfect union of...",Mana,2,2,10,7,620,110,467,31.0,335,21,4.7,30,1.3,450,6.5,0.55,8.0,0.8,0,0,46,3.25,2.11,0.625,Mage
Kassadin,Kassadin,the Void Walker,"Cutting a burning swath through the darkest places of the world, Kassadin knows his days are numbered. A widely traveled Shuriman guide and adventurer, he had chosen to raise a family among the peaceful southern tribes—until the day his village was...",Mana,3,5,8,8,646,119,400,87.0,335,19,4.0,30,1.3,150,6.0,0.5,6.0,0.8,0,0,59,3.9,3.7,0.64,Assassin
Katarina,Katarina,the Sinister Blade,"Decisive in judgment and lethal in combat, Katarina is a Noxian assassin of the highest caliber. Eldest daughter to the legendary General Du Couteau, she made her talents known with swift kills against unsuspecting enemies. Her fiery ambition has driven...",None,4,3,9,8,672,108,0,0.0,335,28,4.7,32,2.05,125,7.5,0.7,0.0,0.0,0,0,58,3.2,2.74,0.658,Assassin
Kayle,Kayle,the Righteous,"Born to a Targonian Aspect at the height of the Rune Wars, Kayle honored her mother's legacy by fighting for justice on wings of divine flame. She and her twin sister Morgana were the protectors of Demacia for many years—until Kayle became disillusioned...",Mana,6,6,7,7,670,92,330,50.0,335,26,4.2,22,1.3,175,5.0,0.5,8.0,0.8,0,0,50,2.5,1.5,0.625,Mage
Kayn,Kayn,the Shadow Reaper,"A peerless practitioner of lethal shadow magic, Shieda Kayn battles to achieve his true destiny—to one day lead the Order of Shadow into a new era of Ionian supremacy. He wields the sentient darkin weapon Rhaast, undeterred by its creeping corruption of...",Mana,10,6,1,8,655,109,410,50.0,340,38,4.5,32,2.05,175,8.0,0.75,11.5,0.95,0,0,68,3.3,2.7,0.669,Fighter
Kennen,Kennen,the Heart of the Tempest,"More than just the lightning-quick enforcer of Ionian balance, Kennen is the only yordle member of the Kinkou. Despite his small, furry stature, he is eager to take on any threat with a whirling storm of shuriken and boundless enthusiasm. Alongside his...",Energy,6,4,7,4,580,98,200,0.0,335,29,4.95,30,1.3,550,5.5,0.65,50.0,0.0,0,0,48,3.75,3.4,0.625,Mage
Khazix,Khazix,the Voidreaver,"The Void grows, and the Void adapts—in none of its myriad spawn are these truths more apparent than Kha'Zix. Evolution drives the core of this mutating horror, born to survive and to slay the strong. Where it struggles to do so, it grows new, more...",Mana,9,4,3,6,643,99,327,40.0,350,32,4.2,32,2.05,125,7.5,0.75,7.59,0.5,0,0,60,3.1,2.7,0.668,Assassin
Kindred,Kindred,The Eternal Hunters,"Separate, but never parted, Kindred represents the twin essences of death. Lamb's bow offers a swift release from the mortal realm for those who accept their fate. Wolf hunts down those who run from their end, delivering violent finality within his...",Mana,8,2,2,4,595,104,300,35.0,325,29,4.7,30,1.3,500,7.0,0.55,7.0,0.4,0,0,65,3.25,3.5,0.625,Marksman
Kled,Kled,the Cantankerous Cavalier,"A warrior as fearless as he is ornery, the yordle Kled embodies the furious bravado of Noxus. He is an icon beloved by the empire's soldiers, distrusted by its officers, and loathed by the nobility. Many claim Kled has fought in every campaign the...",Courage,8,2,2,7,410,84,100,0.0,345,35,5.2,28,2.05,125,6.0,0.75,0.0,0.0,0,0,65,3.5,3.5,0.625,Fighter
KogMaw,KogMaw,the Mouth of the Abyss,"Belched forth from a rotting Void incursion deep in the wastelands of Icathia, Kog'Maw is an inquisitive yet putrid creature with a caustic, gaping mouth. This particular Void-spawn needs to gnaw and drool on anything within reach to truly understand it...",Mana,8,2,5,6,635,99,325,40.0,330,24,4.45,30,1.3,500,3.75,0.55,8.75,0.7,0,0,61,3.1,2.65,0.665,Marksman
KSante,KSante,the Pride of Nazumah,"Defiant and courageous, K'Sante battles colossal beasts and ruthless Ascended to protect his home of Nazumah, a coveted oasis amid the sands of Shurima. But after a falling-out with his former partner, K'Sante realizes that in order to become a warrior...",Mana,8,8,7,9,625,120,320,60.0,330,36,5.2,30,2.1,150,9.5,1.0,7.0,1.0,0,0,64,3.5,2.5,0.688,Tank
Leblanc,Leblanc,the Deceiver,"Mysterious even to other members of the Black Rose cabal, LeBlanc is but one of many names for a pale woman who has manipulated people and events since the earliest days of Noxus. Using her magic to mirror herself, the sorceress can appear to anyone...",Mana,1,4,10,9,598,111,400,25.0,340,22,4.7,30,1.3,525,7.5,0.55,8.0,0.8,0,0,55,2.2,2.35,0.658,Assassin
LeeSin,LeeSin,the Blind Monk,"A master of Ionia's ancient martial arts, Lee Sin is a principled fighter who channels the essence of the dragon spirit to face any challenge. Though he lost his sight many years ago, the warrior-monk has devoted his life to protecting his homeland...",Energy,8,5,3,6,645,108,200,0.0,345,36,4.9,32,2.05,125,7.5,0.7,50.0,0.0,0,0,69,3.7,3.0,0.651,Fighter
Leona,Leona,the Radiant Dawn,"Imbued with the fire of the sun, Leona is a holy warrior of the Solari who defends Mount Targon with her Zenith Blade and the Shield of Daybreak. Her skin shimmers with starfire while her eyes burn with the power of the celestial Aspect within her...",Mana,4,8,3,4,646,101,302,40.0,335,43,4.8,32,2.05,125,8.5,0.85,6.0,0.8,0,0,60,3.0,2.9,0.625,Tank
Lillia,Lillia,the Bashful Bloom,"Intensely shy, the fae fawn Lillia skittishly wanders Ionia's forests. Hiding just out of sight of mortals—whose mysterious natures have long captivated, but intimidated, her—Lillia hopes to discover why their dreams no longer reach the ancient Dreaming...",Mana,0,2,10,8,605,105,410,50.0,330,22,4.5,32,1.55,325,2.5,0.55,11.5,0.95,0,0,61,3.1,2.7,0.625,Fighter
